Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Year
M Pathirana (SL),12,12,84.4,2,616,17,Apr-32,36.23,7.27,29.8,1,0,2023
VJ Kingma (NED),2,2,20,0,146,3,Feb-80,48.66,7.3,40,0,0,2023
MR Marsh (AUS),20,5,13,0,96,2,19-Feb,48,7.38,39,0,0,2023
Matiullah Khan (UAE),1,1,5,0,37,1,Jan-37,37,7.4,30,0,0,2023
Zawar Farid (UAE),3,3,13,0,97,3,9-Feb,32.33,7.46,26,0,0,2023
Ihsanullah (PAK),1,1,8,0,60,0,-,-,7.5,-,0,0,2023
JN Loftie-Eaton (NAM),11,3,8.4,1,65,3,Mar-54,21.66,7.5,17.3,0,0,2023
AM Tribe (JER),5,3,4,0,30,0,-,-,7.5,-,0,0,2023
GLS Scrimshaw (ENG),1,1,8.4,0,66,3,Mar-66,22,7.61,17.3,0,0,2023
SH Johnson (AUS),1,1,8,0,61,0,-,-,7.62,-,0,0,2023
Abdul Rahman (AFG),3,3,17.2,0,133,1,Jan-83,133,7.67,104,0,0,2023
CJA Amini (PNG),11,7,19,0,152,1,15-Jan,152,8,114,0,0,2023
Mrittunjoy Chowdhury (BAN),1,1,8,0,64,0,-,-,8,-,0,0,2023
Rahmat Shah (AFG),18,2,2.1,0,18,1,6-Jan,18,8.3,13,0,0,2023
RG Sharma (IND),27,1,0.5,0,7,1,7-Jan,7,8.4,5,0,0,2023
JDF Vandersay (SL),1,1,7,0,59,0,-,-,8.42,-,0,0,2023
SA Yadav (IND),21,1,2,0,17,0,-,-,8.5,-,0,0,2023
MJ Humphreys (IRE),2,2,11,0,95,0,-,-,8.63,-,0,0,2023
Pramod Madushan (SL),2,2,9,1,79,2,Feb-58,39.5,8.77,27,0,0,2023
Usman Rafiq (USA),2,2,5.2,0,47,0,-,-,8.81,-,0,0,2023
AA Paradkar (USA),2,2,12,0,106,4,Mar-78,26.5,8.83,18,0,0,2023
BD Glover (NED),1,1,7,0,62,1,Jan-62,62,8.85,42,0,0,2023
RD Berrington (SCOT),11,1,1,0,9,0,-,-,9,-,0,0,2023
Shamim Hossain (BAN),4,2,2,0,18,0,-,-,9,-,0,0,2023
JDS Neesham (NZ),5,5,25.3,0,236,2,Jan-32,118,9.25,76.5,0,0,2023
BDH Stevens (JER),1,1,3,0,28,0,-,-,9.33,-,0,0,2023
TF van Woerkom (IRE),2,2,8,0,75,1,Jan-47,75,9.37,48,0,0,2023
TH David (AUS),4,1,2,0,20,1,20-Jan,20,10,12,0,0,2023
M van Lingen (NAM),10,2,2,0,20,0,-,-,10,-,0,0,2023
MNK Fernando (SL),4,1,2,0,22,0,-,-,11,-,0,0,2023
M Labuschagne (AUS),22,1,3,0,33,0,-,-,11,-,0,0,2023
Muhammad Waseem (UAE),24,2,3,0,33,0,-,-,11,-,0,0,2023
Afif Hossain (BAN),9,2,2,0,23,0,-,-,11.5,-,0,0,2023
B Sai Sudharsan (IND),3,1,0.3,0,8,0,-,-,16,-,0,0,2023
